References,Qty,Description,Part Number,Digi-Key,Mouser,Newark
"C1, C4, C5, C7, C8, C9, C12",7,0.1uF,GRM155R71A104KA01D,490-6321-1-ND,GRM155R71A104KA01D,14T3278
"C2, C3, C6",3,2.2uF,TMK212B7225KG-TR,587-2991-1-ND,TMK212B7225KG-TR,92T9715
"C10, C11",2,22pF,VJ0603A220JXACW1BC,BC1229TR-ND,VJ0603A220JXACW1BC,57J8941
G1,1,16MHz,ABL-16.000MHZ-B1U,,ABL-16.000MHZ-B1U,
G2,1,32.768kHz,CFS206-32.768-KDZF-UB,,CFS206-32.768-KDZF-UB,
K1,1,MK20DX256VLH7,MK20DX256VLH7,MK20DX256VLH7-ND,MK20DX256VLH7,24W6507
P1,1,~,SML-211DTT86,511-1291-1-ND,SML-211DTT86,
R1,1,FUSE,0ZCK0050FF2E,507-1813-1-ND,0ZCK0050FF2E,
"R2, R4",2,~,BLM18AG601SN1D,490-1014-1-ND,BLM18AG601SN1D,73M9057
"R3, R8",2,470R,CRCW0603470RFKEA,541-470HCT-ND,CRCW0603470RFKEA,52K8556
"R5, R6",2,33R,ERJ-PA3F33R0V,P33.00BYCT-ND,ERJ-PA3F33R0V,84X4678
R7,1,~,"BAT54C,215",1727-2902-1-ND,"BAT54C,215",75R4975
S1,1,~,SKHHPKA010,,SKHHPKA010,
T1,1,MCP1825S,MCP1825S-3302E/DB,MCP1825S-3302E/DB-ND,MCP1825S-3302E/DB,26M9961
X1,1,MINI-USB,675031020,WM5461CT-ND,,
